"No.","Time","Source","Destination","Protocol","Length","Info"
"897","160.877332","91.189.91.98","192.168.239.134","TCP","58","80  >  52716 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"898","160.877651","192.168.239.134","91.189.91.98","TCP","60","52716  >  80 [RST] Seq=1 Win=0 Len=0"
"899","161.525907","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16944851 TSecr=0 WS=128"
"900","161.589856","192.168.239.134","91.189.91.96","TCP","74","[TCP Port numbers reused] 57678  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4227151609 TSecr=0 WS=128"
"901","161.737733","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"902","161.738098","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"903","161.850306","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"904","161.851822","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
"905","162.465197","192.168.239.134","192.168.239.2","DNS","100","Standard query 0x54a4 A connectivity-check.ubuntu.com OPT"
"906","162.465366","192.168.239.135","192.168.239.2","DNS","100","Standard query 0x1809 A connectivity-check.ubuntu.com OPT"
"907","162.465476","192.168.239.136","192.168.239.2","DNS","100","Standard query 0xcb3d A connectivity-check.ubuntu.com OPT"
"908","162.465559","192.168.239.137","192.168.239.2","DNS","100","Standard query 0x49fc A connectivity-check.ubuntu.com OPT"
"909","162.468694","192.168.239.2","192.168.239.134","DNS","292","Standard query response 0x54a4 A connectivity-check.ubuntu.com A 185.125.190.97 A 185.125.190.49 A 91.189.91.48 A 91.189.91.97 A 185.125.190.18 A 91.189.91.96 A 185.125.190.48 A 185.125.190.96 A 91.189.91.49 A 91.189.91.98 A 185.125.190.17 A 185.125.190.98 OPT"
"910","162.468727","192.168.239.2","192.168.239.135","DNS","292","Standard query response 0x1809 A connectivity-check.ubuntu.com A 185.125.190.96 A 91.189.91.97 A 91.189.91.48 A 185.125.190.48 A 91.189.91.98 A 185.125.190.18 A 91.189.91.96 A 185.125.190.97 A 185.125.190.49 A 185.125.190.17 A 185.125.190.98 A 91.189.91.49 OPT"
"911","162.468745","192.168.239.2","192.168.239.136","DNS","292","Standard query response 0xcb3d A connectivity-check.ubuntu.com A 91.189.91.48 A 185.125.190.97 A 185.125.190.17 A 91.189.91.98 A 185.125.190.98 A 185.125.190.48 A 91.189.91.96 A 91.189.91.97 A 91.189.91.49 A 185.125.190.18 A 185.125.190.96 A 185.125.190.49 OPT"
"912","162.468771","192.168.239.2","192.168.239.137","DNS","292","Standard query response 0x49fc A connectivity-check.ubuntu.com A 91.189.91.48 A 91.189.91.96 A 185.125.190.96 A 91.189.91.49 A 91.189.91.97 A 185.125.190.98 A 91.189.91.98 A 185.125.190.97 A 185.125.190.17 A 185.125.190.18 A 185.125.190.49 A 185.125.190.48 OPT"
"913","162.470121","192.168.239.134","185.125.190.96","TCP","74","37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632492791 TSecr=0 WS=128"
"914","162.549943","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16945875 TSecr=0 WS=128"
"915","162.677894","192.168.239.134","91.189.91.98","TCP","74","[TCP Port numbers reused] 52716  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1340684197 TSecr=0 WS=128"
"916","162.695864","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"917","162.696200","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"918","162.801268","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"919","162.801626","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"920","162.869930","192.168.239.134","185.199.108.133","TCP","60","[TCP Dup ACK 183#3] 40652  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"921","162.870152","185.199.108.133","192.168.239.134","TCP","54","[TCP Dup ACK 184#3] 443  >  40652 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"922","162.925618","91.189.91.98","192.168.239.134","TCP","58","80  >  52716 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"923","162.926035","192.168.239.134","91.189.91.98","TCP","60","52716  >  80 [RST] Seq=1 Win=0 Len=0"
"924","163.509960","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632493831 TSecr=0 WS=128"
"925","163.573883","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16946899 TSecr=0 WS=128"
"926","163.637893","192.168.239.134","91.189.91.96","TCP","74","[TCP Port numbers reused] 57678  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4227153657 TSecr=0 WS=128"
"927","163.766161","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"928","163.766513","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"929","163.783185","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"930","163.783482","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"931","163.900821","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"932","163.901109","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
"933","164.533972","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632494855 TSecr=0 WS=128"
"934","164.759424","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"935","164.759789","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"936","164.917959","VMware_ed:34:82","VMware_e0:b2:4c","ARP","60","Who has 192.168.239.2? Tell 192.168.239.135"
"937","164.918015","VMware_e0:b2:4c","VMware_ed:34:82","ARP","42","192.168.239.2 is at 00:50:56:e0:b2:4c"
"938","165.557921","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632495879 TSecr=0 WS=128"
"939","165.621924","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16948947 TSecr=0 WS=128"
"940","165.784191","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"941","165.784530","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"942","165.830770","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
