method,latency_ns
chained_hash,41.43
chained_hash,42.99
chained_hash,42.99
chained_hash,40.64
chained_hash,42.21
chained_hash,42.21
chained_hash,39.86
chained_hash,42.99
chained_hash,41.42
chained_hash,42.21
chained_hash,42.21
chained_hash,41.43
chained_hash,39.08
chained_hash,40.64
chained_hash,40.64
chained_hash,42.99
chained_hash,40.64
chained_hash,41.43
chained_hash,42.21
chained_hash,41.43
chained_hash,135.22
chained_hash,41.42
chained_hash,421.30
chained_hash,40.64
chained_hash,40.64
chained_hash,43.77
chained_hash,39.86
chained_hash,43.77
chained_hash,39.86
chained_hash,42.21
chained_hash,42.21
chained_hash,41.43
chained_hash,42.99
chained_hash,46.90
chained_hash,42.21
chained_hash,42.99
chained_hash,41.43
chained_hash,43.77
chained_hash,42.21
chained_hash,41.42
chained_hash,39.86
chained_hash,41.43
chained_hash,164.92
chained_hash,40.64
chained_hash,42.99
chained_hash,42.99
chained_hash,42.21
chained_hash,42.21
chained_hash,44.55
chained_hash,42.21
chained_hash,42.99
chained_hash,41.43
chained_hash,42.99
chained_hash,43.77
chained_hash,41.42
chained_hash,42.99
chained_hash,41.42
chained_hash,42.99
chained_hash,39.86
chained_hash,41.42
chained_hash,41.42
chained_hash,51.59
chained_hash,43.77
chained_hash,42.99
chained_hash,40.64
chained_hash,42.21
chained_hash,42.99
chained_hash,42.99
chained_hash,167.27
chained_hash,42.99
chained_hash,39.08
chained_hash,42.99
chained_hash,45.33
chained_hash,42.99
chained_hash,42.21
chained_hash,41.42
balanced_tree,100.83
balanced_tree,227.45
balanced_tree,98.48
balanced_tree,89.10
balanced_tree,97.70
balanced_tree,92.23
balanced_tree,96.92
balanced_tree,107.08
balanced_tree,94.58
balanced_tree,102.39
balanced_tree,94.58
balanced_tree,89.88
balanced_tree,100.05
balanced_tree,221.98
balanced_tree,100.05
balanced_tree,93.80
balanced_tree,96.92
balanced_tree,99.27
balanced_tree,213.38
balanced_tree,248.56
balanced_tree,98.48
balanced_tree,88.32
balanced_tree,96.92
balanced_tree,92.23
balanced_tree,107.86
balanced_tree,95.36
balanced_tree,89.89
balanced_tree,96.92
balanced_tree,100.83
balanced_tree,91.45
balanced_tree,95.36
balanced_tree,96.14
balanced_tree,93.01
balanced_tree,314.21
balanced_tree,95.36
balanced_tree,93.80
balanced_tree,197.75
balanced_tree,89.89
balanced_tree,96.14
balanced_tree,192.28
balanced_tree,176.65
balanced_tree,100.83
balanced_tree,89.10
balanced_tree,88.32
balanced_tree,233.70
balanced_tree,180.56
balanced_tree,95.36
balanced_tree,94.58
balanced_tree,100.83
balanced_tree,229.80
balanced_tree,90.67
balanced_tree,631.55
balanced_tree,98.49
balanced_tree,87.54
balanced_tree,135.22
balanced_tree,94.58
balanced_tree,86.76
balanced_tree,92.23
balanced_tree,153.98
balanced_tree,100.05
balanced_tree,103.96
balanced_tree,100.05
balanced_tree,103.96
balanced_tree,101.61
balanced_tree,108.65
balanced_tree,107.86
balanced_tree,94.58
balanced_tree,93.79
balanced_tree,91.45
balanced_tree,105.52
balanced_tree,103.96
balanced_tree,107.86
balanced_tree,100.05
balanced_tree,102.39
balanced_tree,110.99
balanced_tree,91.45
balanced_tree,98.49
balanced_tree,94.58
balanced_tree,98.49
balanced_tree,194.62
balanced_tree,91.45
balanced_tree,89.11
balanced_tree,90.67
balanced_tree,94.58
balanced_tree,89.89
balanced_tree,87.54
balanced_tree,86.76
balanced_tree,87.54
balanced_tree,85.20
balanced_tree,90.67
balanced_tree,96.92
balanced_tree,87.54
balanced_tree,93.02
balanced_tree,89.10
balanced_tree,215.73
balanced_tree,87.54
balanced_tree,92.23
balanced_tree,92.23
balanced_tree,94.58
balanced_tree,94.57
balanced_tree,195.41
balanced_tree,87.54
balanced_tree,90.67
balanced_tree,90.67
balanced_tree,89.89
balanced_tree,88.32
balanced_tree,90.67
balanced_tree,218.08
balanced_tree,85.98
balanced_tree,84.42
balanced_tree,85.98
balanced_tree,84.42
balanced_tree,82.85
