method,latency_ns
balanced_tree,292.33
balanced_tree,288.42
balanced_tree,282.95
balanced_tree,283.73
balanced_tree,273.57
balanced_tree,276.70
balanced_tree,268.88
balanced_tree,286.86
balanced_tree,272.01
balanced_tree,354.07
balanced_tree,974.69
balanced_tree,375.18
balanced_tree,350.17
balanced_tree,329.84
balanced_tree,319.69
balanced_tree,320.47
balanced_tree,294.67
balanced_tree,293.11
balanced_tree,291.55
balanced_tree,279.82
balanced_tree,284.51
balanced_tree,279.04
balanced_tree,275.13
balanced_tree,269.66
balanced_tree,278.26
balanced_tree,269.66
balanced_tree,264.97
balanced_tree,269.66
balanced_tree,266.54
balanced_tree,270.44
balanced_tree,274.35
balanced_tree,264.97
balanced_tree,268.10
balanced_tree,265.75
balanced_tree,272.01
balanced_tree,267.32
balanced_tree,261.84
balanced_tree,269.66
balanced_tree,267.31
balanced_tree,262.63
balanced_tree,268.10
balanced_tree,268.10
balanced_tree,266.54
balanced_tree,272.01
balanced_tree,273.57
balanced_tree,268.88
balanced_tree,272.79
balanced_tree,268.10
balanced_tree,323.59
balanced_tree,269.66
balanced_tree,267.31
balanced_tree,269.66
balanced_tree,270.44
balanced_tree,270.44
balanced_tree,272.01
balanced_tree,277.48
balanced_tree,272.01
balanced_tree,275.13
balanced_tree,278.26
balanced_tree,287.64
balanced_tree,274.35
balanced_tree,270.44
balanced_tree,334.54
balanced_tree,276.70
balanced_tree,279.82
balanced_tree,275.91
balanced_tree,272.01
balanced_tree,275.91
balanced_tree,274.35
balanced_tree,275.91
balanced_tree,280.60
balanced_tree,277.48
balanced_tree,279.04
balanced_tree,282.16
balanced_tree,282.95
balanced_tree,282.17
balanced_tree,281.39
balanced_tree,277.48
balanced_tree,272.79
balanced_tree,277.48
balanced_tree,676.89
balanced_tree,289.20
balanced_tree,282.17
balanced_tree,282.17
balanced_tree,286.08
balanced_tree,280.60
balanced_tree,285.29
balanced_tree,279.82
balanced_tree,282.16
balanced_tree,282.95
balanced_tree,284.51
balanced_tree,291.55
balanced_tree,286.07
balanced_tree,289.20
balanced_tree,284.51
balanced_tree,368.15
balanced_tree,295.45
balanced_tree,286.86
balanced_tree,289.98
balanced_tree,289.20
balanced_tree,286.86
balanced_tree,289.20
balanced_tree,286.86
balanced_tree,690.17
balanced_tree,300.14
balanced_tree,296.24
balanced_tree,303.27
balanced_tree,291.54
balanced_tree,289.98
balanced_tree,294.67
balanced_tree,288.42
balanced_tree,289.98
balanced_tree,297.02
balanced_tree,350.95
balanced_tree,296.24
