# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.195 ns/op; B=32(xval) median=0.256 ns/op
# 第 35 条口径：pkts_per_op=K（每个操作固定 K 个重传报文；SR=K 个互异 PSN、GBN=K 个连续 PSN，K 在所有 N 下恒定）
# ring_bytes=dynblock 占用面积=N×stride(S)（stride=align16(S)，24B 头不计）；非 dynblock 方法=0（无环缓冲）
# main_metric=batch_p50_ns（每批固定 K 个报文的 retrieve 摊到单批的 p50，即「每批固定 K 个报文」口径）
method,sort_impl,mode,N,pkts_per_op,ring_bytes,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,main_metric
psn_dynblock,1,gbn_long64,256,64,262144,1024,512,32,5,1026.695,5.628,1025.611,1031.065,1054.662,batch_p50_ns
psn_dynblock_adaptive,0,gbn_long64,256,64,262144,1024,512,32,5,1027.873,10.607,1025.691,1032.082,1089.088,batch_p50_ns
psn_dynblock_adaptive,1,gbn_long64,256,64,262144,1024,512,32,5,1030.067,12.943,1026.468,1041.114,1096.404,batch_p50_ns
ring_fixed,0,gbn_long64,256,64,1048576,1024,512,32,5,1108.636,14.279,1103.649,1123.997,1175.522,batch_p50_ns
ring_fixed,1,gbn_long64,256,64,1048576,1024,512,32,5,1105.153,11.014,1102.440,1109.786,1182.483,batch_p50_ns
index_only,0,gbn_long64,256,64,0,1024,512,32,5,204.304,2.641,203.362,205.372,212.453,batch_p50_ns
index_only,1,gbn_long64,256,64,0,1024,512,32,5,204.280,1.944,203.366,206.658,213.070,batch_p50_ns
fifo_bounded,0,gbn_short8,256,8,0,1024,512,32,5,1045.312,22.024,1040.943,1075.917,1105.640,batch_p50_ns
fifo_bounded,1,gbn_short8,256,8,0,1024,512,32,5,1043.529,20.608,1040.667,1074.770,1102.690,batch_p50_ns
chained_hash_bounded,0,gbn_short8,256,8,0,1024,512,32,5,78.133,1.169,77.922,78.597,85.371,batch_p50_ns
chained_hash_bounded,1,gbn_short8,256,8,0,1024,512,32,5,78.178,0.895,77.999,78.752,82.908,batch_p50_ns
balanced_tree_bounded,0,gbn_short8,256,8,0,1024,512,32,5,133.625,3.289,132.980,135.391,144.974,batch_p50_ns
