# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.293 ns/op; B=32(xval) median=0.375 ns/op
method,sort_impl,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
chained_hash_bounded,0,gbn_short8,256,1024,512,32,5,89.396,0.823,89.256,90.048,93.284
chained_hash_bounded,1,gbn_short8,256,1024,512,32,5,89.295,0.922,89.109,89.789,94.285
balanced_tree_bounded,0,gbn_short8,256,1024,512,32,5,129.706,0.921,129.511,130.771,132.852
balanced_tree_bounded,1,gbn_short8,256,1024,512,32,5,129.526,1.124,129.313,130.441,132.988
psn_dynblock,0,gbn_short8,256,1024,512,32,5,75.458,1.789,74.758,77.608,81.705
psn_dynblock,1,gbn_short8,256,1024,512,32,5,74.880,0.847,74.628,75.949,77.136
psn_dynblock_adaptive,0,gbn_short8,256,1024,512,32,5,75.033,0.841,74.760,76.144,78.036
psn_dynblock_adaptive,1,gbn_short8,256,1024,512,32,5,76.015,2.277,75.283,78.255,85.813
ring_fixed,0,gbn_short8,256,1024,512,32,5,77.991,0.317,77.941,78.162,79.301
ring_fixed,1,gbn_short8,256,1024,512,32,5,78.027,0.601,77.930,78.221,80.162
index_only,0,gbn_short8,256,1024,512,32,5,23.348,0.208,23.324,23.354,24.756
index_only,1,gbn_short8,256,1024,512,32,5,23.439,0.324,23.333,23.857,25.289
fifo_bounded,0,sr_16,256,1024,512,32,5,2430.429,16.948,2427.792,2451.833,2478.762
fifo_bounded,1,sr_16,256,1024,512,32,5,2264.493,14.867,2263.773,2282.176,2298.047
