exp1b floor: B=512 median=0.293 ns/op; B=32 (xval) median=0.375 ns/op
  balanced_tree_bounded  si=0 gbn_short8  N= 1024  p50=  162.739  p90=  164.280
  balanced_tree_bounded  si=1 gbn_short8  N= 1024  p50=  162.737  p90=  164.212
  psn_dynblock           si=0 gbn_short8  N= 1024  p50=   77.601  p90=   77.984
  psn_dynblock           si=1 gbn_short8  N= 1024  p50=   77.568  p90=   77.955
  psn_dynblock_adaptive  si=0 gbn_short8  N= 1024  p50=   77.760  p90=   80.347
  psn_dynblock_adaptive  si=1 gbn_short8  N= 1024  p50=   77.597  p90=   77.986
  ring_fixed             si=0 gbn_short8  N= 1024  p50=  104.201  p90=  132.174
  ring_fixed             si=1 gbn_short8  N= 1024  p50=  103.100  p90=  104.289
  index_only             si=0 gbn_short8  N= 1024  p50=   23.327  p90=   23.356
  index_only             si=1 gbn_short8  N= 1024  p50=   23.322  p90=   23.353
  fifo_bounded           si=0 sr_16       N= 1024  p50= 9157.495  p90= 9280.637
  fifo_bounded           si=1 sr_16       N= 1024  p50= 8992.271  p90= 9122.118
  chained_hash_bounded   si=0 sr_16       N= 1024  p50=  458.902  p90=  468.950
  chained_hash_bounded   si=1 sr_16       N= 1024  p50=  294.844  p90=  297.865
  balanced_tree_bounded  si=0 sr_16       N= 1024  p50=  761.739  p90=  774.854
  balanced_tree_bounded  si=1 sr_16       N= 1024  p50=  599.096  p90=  605.518
  psn_dynblock           si=0 sr_16       N= 1024  p50=  274.901  p90=  279.721
  psn_dynblock           si=1 sr_16       N= 1024  p50=  277.893  p90=  303.037
  psn_dynblock_adaptive  si=0 sr_16       N= 1024  p50=  274.795  p90=  279.328
  psn_dynblock_adaptive  si=1 sr_16       N= 1024  p50=  273.751  p90=  278.315
  ring_fixed             si=0 sr_16       N= 1024  p50=  318.974  p90=  325.953
  ring_fixed             si=1 sr_16       N= 1024  p50=  320.337  p90=  326.685
  index_only             si=0 sr_16       N= 1024  p50=  319.411  p90=  322.526
  index_only             si=1 sr_16       N= 1024  p50=  156.546  p90=  158.590
  fifo_bounded           si=0 sr_64       N= 1024  p50=37085.602  p90=37289.599
  fifo_bounded           si=1 sr_64       N= 1024  p50=36125.501  p90=36304.074
  chained_hash_bounded   si=0 sr_64       N= 1024  p50= 2666.393  p90= 2744.678
  chained_hash_bounded   si=1 sr_64       N= 1024  p50= 1702.703  p90= 1718.461
  balanced_tree_bounded  si=0 sr_64       N= 1024  p50= 3419.404  p90= 3453.082
  balanced_tree_bounded  si=1 sr_64       N= 1024  p50= 2502.965  p90= 2527.424
  psn_dynblock           si=0 sr_64       N= 1024  p50= 1080.941  p90= 1115.232
  psn_dynblock           si=1 sr_64       N= 1024  p50= 1079.549  p90= 1107.400
  psn_dynblock_adaptive  si=0 sr_64       N= 1024  p50= 1082.302  p90= 1159.889
  psn_dynblock_adaptive  si=1 sr_64       N= 1024  p50= 1084.284  p90= 1106.133
  ring_fixed             si=0 sr_64       N= 1024  p50= 1363.514  p90= 1538.442
  ring_fixed             si=1 sr_64       N= 1024  p50= 1313.979  p90= 1526.570
  index_only             si=0 sr_64       N= 1024  p50= 1751.659  p90= 1762.141
  index_only             si=1 sr_64       N= 1024  p50=  844.756  p90=  850.820
  fifo_bounded           si=0 gbn_long64  N= 2048  p50=64971.945  p90=67213.016
  fifo_bounded           si=1 gbn_long64  N= 2048  p50=64989.332  p90=67363.739
  chained_hash_bounded   si=0 gbn_long64  N= 2048  p50= 1107.484  p90= 1123.560
  chained_hash_bounded   si=1 gbn_long64  N= 2048  p50= 1106.804  p90= 1118.050
  balanced_tree_bounded  si=0 gbn_long64  N= 2048  p50= 1303.316  p90= 1316.240
  balanced_tree_bounded  si=1 gbn_long64  N= 2048  p50= 1303.152  p90= 1314.699
  psn_dynblock           si=0 gbn_long64  N= 2048  p50= 1045.684  p90= 1059.223
  psn_dynblock           si=1 gbn_long64  N= 2048  p50= 1043.443  p90= 1051.915
  psn_dynblock_adaptive  si=0 gbn_long64  N= 2048  p50= 1035.076  p90= 1049.364
  psn_dynblock_adaptive  si=1 gbn_long64  N= 2048  p50= 1045.040  p90= 1053.919
  ring_fixed             si=0 gbn_long64  N= 2048  p50= 1791.603  p90= 1826.088
  ring_fixed             si=1 gbn_long64  N= 2048  p50= 1883.670  p90= 1920.074
  index_only             si=0 gbn_long64  N= 2048  p50=  181.515  p90=  183.914
  index_only             si=1 gbn_long64  N= 2048  p50=  181.579  p90=  184.056
  fifo_bounded           si=0 gbn_short8  N= 2048  p50= 8215.741  p90= 8436.929
  fifo_bounded           si=1 gbn_short8  N= 2048  p50= 8217.000  p90= 8418.207
  chained_hash_bounded   si=0 gbn_short8  N= 2048  p50=  104.275  p90=  105.814
  chained_hash_bounded   si=1 gbn_short8  N= 2048  p50=  104.701  p90=  106.226
  balanced_tree_bounded  si=0 gbn_short8  N= 2048  p50=  184.192  p90=  186.562
  balanced_tree_bounded  si=1 gbn_short8  N= 2048  p50=  184.680  p90=  186.510
  psn_dynblock           si=0 gbn_short8  N= 2048  p50=   82.416  p90=   86.357
  psn_dynblock           si=1 gbn_short8  N= 2048  p50=   81.060  p90=   82.893
  psn_dynblock_adaptive  si=0 gbn_short8  N= 2048  p50=   83.010  p90=   87.821
  psn_dynblock_adaptive  si=1 gbn_short8  N= 2048  p50=   83.084  p90=   85.178
  ring_fixed             si=0 gbn_short8  N= 2048  p50=  165.972  p90=  173.644
  ring_fixed             si=1 gbn_short8  N= 2048  p50=  170.301  p90=  173.105
  index_only             si=0 gbn_short8  N= 2048  p50=   23.327  p90=   23.358
  index_only             si=1 gbn_short8  N= 2048  p50=   23.327  p90=   23.357
  fifo_bounded           si=0 sr_16       N= 2048  p50=17990.391  p90=18166.932
  fifo_bounded           si=1 sr_16       N= 2048  p50=17827.032  p90=18040.301
  chained_hash_bounded   si=0 sr_16       N= 2048  p50=  486.770  p90=  495.369
  chained_hash_bounded   si=1 sr_16       N= 2048  p50=  323.145  p90=  326.854
  balanced_tree_bounded  si=0 sr_16       N= 2048  p50=  838.101  p90=  845.352
  balanced_tree_bounded  si=1 sr_16       N= 2048  p50=  673.959  p90=  679.226
  psn_dynblock           si=0 sr_16       N= 2048  p50=  319.373  p90=  336.530
  psn_dynblock           si=1 sr_16       N= 2048  p50=  319.768  p90=  325.192
  psn_dynblock_adaptive  si=0 sr_16       N= 2048  p50=  319.740  p90=  326.254
  psn_dynblock_adaptive  si=1 sr_16       N= 2048  p50=  319.602  p90=  325.442
  ring_fixed             si=0 sr_16       N= 2048  p50=  387.896  p90=  395.255
  ring_fixed             si=1 sr_16       N= 2048  p50=  398.709  p90=  403.883
  index_only             si=0 sr_16       N= 2048  p50=  317.009  p90=  320.488
  index_only             si=1 sr_16       N= 2048  p50=  156.503  p90=  157.802
  fifo_bounded           si=0 sr_64       N= 2048  p50=72342.199  p90=72714.755
  fifo_bounded           si=1 sr_64       N= 2048  p50=71298.843  p90=71592.458
  chained_hash_bounded   si=0 sr_64       N= 2048  p50= 2804.072  p90= 2830.832
  chained_hash_bounded   si=1 sr_64       N= 2048  p50= 1778.987  p90= 1866.661
  balanced_tree_bounded  si=0 sr_64       N= 2048  p50= 3752.615  p90= 3780.655
  balanced_tree_bounded  si=1 sr_64       N= 2048  p50= 2821.875  p90= 2837.017
  psn_dynblock           si=0 sr_64       N= 2048  p50= 1220.536  p90= 1248.193
  psn_dynblock           si=1 sr_64       N= 2048  p50= 1218.286  p90= 1224.566
  psn_dynblock_adaptive  si=0 sr_64       N= 2048  p50= 1215.116  p90= 1233.235
  psn_dynblock_adaptive  si=1 sr_64       N= 2048  p50= 1219.668  p90= 1230.096
  ring_fixed             si=0 sr_64       N= 2048  p50= 1812.241  p90= 1830.564
  ring_fixed             si=1 sr_64       N= 2048  p50= 1864.898  p90= 1878.040
  index_only             si=0 sr_64       N= 2048  p50= 1753.089  p90= 1762.577
  index_only             si=1 sr_64       N= 2048  p50=  847.255  p90=  862.302
  fifo_bounded           si=0 gbn_long64  N= 4096  p50=130042.079  p90=134057.462
  fifo_bounded           si=1 gbn_long64  N= 4096  p50=130104.428  p90=134881.127
  chained_hash_bounded   si=0 gbn_long64  N= 4096  p50= 1333.042  p90= 1378.676
  chained_hash_bounded   si=1 gbn_long64  N= 4096  p50= 1332.842  p90= 1357.806
  balanced_tree_bounded  si=0 gbn_long64  N= 4096  p50= 1559.835  p90= 1588.005
  balanced_tree_bounded  si=1 gbn_long64  N= 4096  p50= 1613.656  p90= 1852.476
  psn_dynblock           si=0 gbn_long64  N= 4096  p50= 1224.417  p90= 1235.800
  psn_dynblock           si=1 gbn_long64  N= 4096  p50= 1242.548  p90= 1254.386
  psn_dynblock_adaptive  si=0 gbn_long64  N= 4096  p50= 1243.206  p90= 1253.862
  psn_dynblock_adaptive  si=1 gbn_long64  N= 4096  p50= 1241.303  p90= 1254.210
  ring_fixed             si=0 gbn_long64  N= 4096  p50= 1931.334  p90= 1996.068
  ring_fixed             si=1 gbn_long64  N= 4096  p50= 1993.446  p90= 2042.459
  index_only             si=0 gbn_long64  N= 4096  p50=  181.288  p90=  183.133
  index_only             si=1 gbn_long64  N= 4096  p50=  181.188  p90=  183.968
  fifo_bounded           si=0 gbn_short8  N= 4096  p50=16397.790  p90=16726.200
  fifo_bounded           si=1 gbn_short8  N= 4096  p50=16339.609  p90=16762.594
  chained_hash_bounded   si=0 gbn_short8  N= 4096  p50=  124.856  p90=  136.331
  chained_hash_bounded   si=1 gbn_short8  N= 4096  p50=  134.364  p90=  136.799
  balanced_tree_bounded  si=0 gbn_short8  N= 4096  p50=  231.545  p90=  236.494
  balanced_tree_bounded  si=1 gbn_short8  N= 4096  p50=  230.042  p90=  233.415
  psn_dynblock           si=0 gbn_short8  N= 4096  p50=  111.189  p90=  142.589
  psn_dynblock           si=1 gbn_short8  N= 4096  p50=  107.010  p90=  112.143
