# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
psn_dynblock_adaptive,sr_64,1024,1024,512,32,5,1,2844.558,373.579,2789.182,3178.874,4238.955
index_only,sr_64,1024,1024,512,32,5,0,287.407,60.516,284.993,360.196,509.823
index_only,sr_64,1024,1024,512,32,5,1,1402.974,418.533,1222.794,1919.943,3151.723
fifo_bounded,gbn_long64,2048,1024,512,32,5,0,95921.517,4378.702,95488.116,100109.731,118717.299
chained_hash_bounded,gbn_long64,2048,1024,512,32,5,0,1729.323,422.258,1642.568,1875.993,3886.181
balanced_tree_bounded,gbn_long64,2048,1024,512,32,5,0,2171.508,396.154,2146.140,2336.397,4164.142
psn_dynblock,gbn_long64,2048,1024,512,32,5,0,1656.727,251.566,1627.918,1843.958,3072.808
psn_dynblock_adaptive,gbn_long64,2048,1024,512,32,5,0,1585.313,214.125,1565.997,1756.253,2755.389
index_only,gbn_long64,2048,1024,512,32,5,0,259.276,56.672,238.503,334.803,421.532
fifo_bounded,gbn_short8,2048,1024,512,32,5,0,11981.780,712.612,11825.358,12958.687,14284.228
chained_hash_bounded,gbn_short8,2048,1024,512,32,5,0,174.193,32.660,160.760,201.976,278.937
balanced_tree_bounded,gbn_short8,2048,1024,512,32,5,0,309.672,65.428,294.564,413.328,533.849
psn_dynblock,gbn_short8,2048,1024,512,32,5,0,159.797,43.308,145.329,212.134,340.663
psn_dynblock_adaptive,gbn_short8,2048,1024,512,32,5,0,173.589,52.438,156.073,248.075,396.725
index_only,gbn_short8,2048,1024,512,32,5,0,45.803,23.356,43.950,46.295,159.784
fifo_bounded,sr_16,2048,1024,512,32,5,0,24440.738,1299.908,24268.558,26297.107,28179.546
fifo_bounded,sr_16,2048,1024,512,32,5,1,24602.238,1255.841,24443.969,26146.504,28941.546
chained_hash_bounded,sr_16,2048,1024,512,32,5,0,450.874,101.024,398.287,533.459,823.335
chained_hash_bounded,sr_16,2048,1024,512,32,5,1,583.750,99.202,550.844,701.056,954.014
